CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj,,,
2.02003E+13,MDG-b_1_n500_m50,0,501.789s,500,50,1583864114,1500,10,56,1162.87,,,
2.02003E+13,MDG-b_1_n500_m50,1,508.14s,500,50,1583878597,1500,10,55,1066.44,,,
2.02003E+13,MDG-b_1_n500_m50,2,507.164s,500,50,1583876786,1500,10,52,1074.92,,,
2.02003E+13,MDG-b_1_n500_m50,3,508.252s,500,50,1583875426,1500,10,52,1148.13,,,
2.02003E+13,MDG-b_1_n500_m50,4,501.866s,500,50,1583882681,1500,10,56,1107.84,,,
2.02003E+13,MDG-b_1_n500_m50,5,508.727s,500,50,1583865765,1500,10,56,1131.77,,,
2.02003E+13,MDG-b_1_n500_m50,6,507.431s,500,50,1583876586,1500,10,54,1091.6,,,
2.02003E+13,MDG-b_1_n500_m50,7,502.231s,500,50,1583894242,1500,10,55,1118.54,,,
2.02003E+13,MDG-b_1_n500_m50,8,501.31s,500,50,1583867993,1500,10,55,1082.77,,,
2.02003E+13,MDG-b_1_n500_m50,9,513.42s,500,50,1583877845,1500,10,57,1109.99,,,
2.02003E+13,MDG-b_2_n500_m50,0,501.149s,500,50,1583868064,1500,10,50,1046.19,,,
2.02003E+13,MDG-b_2_n500_m50,1,508.123s,500,50,1583897432,1500,10,55,1117.18,,,
2.02003E+13,MDG-b_2_n500_m50,2,500.711s,500,50,1583891159,1500,10,54,1080.11,,,
2.02003E+13,MDG-b_2_n500_m50,3,500.785s,500,50,1583882576,1500,10,54,1107.29,,,
2.02003E+13,MDG-b_2_n500_m50,4,512.242s,500,50,1583872722,1500,10,55,1099.58,,,
2.02003E+13,MDG-b_2_n500_m50,5,503.282s,500,50,1583894847,1500,10,55,1119.86,,,
2.02003E+13,MDG-b_2_n500_m50,6,504.929s,500,50,1583884278,1500,10,54,1097.03,,,
2.02003E+13,MDG-b_2_n500_m50,7,502.209s,500,50,1583900950,1500,10,52,1067.44,,,
2.02003E+13,MDG-b_2_n500_m50,8,503.188s,500,50,1583871696,1500,10,55,1090.93,,,
2.02003E+13,MDG-b_2_n500_m50,9,510.958s,500,50,1583887031,1500,10,56,1091.01,,,
2.02003E+13,MDG-b_3_n500_m50,0,506.875s,500,50,1583883698,1500,10,57,1040.27,,,
2.02003E+13,MDG-b_3_n500_m50,1,505.462s,500,50,1583902691,1500,10,53,1099.73,,,
2.02003E+13,MDG-b_3_n500_m50,2,510.612s,500,50,1583886978,1500,10,54,1091.68,,,
2.02003E+13,MDG-b_3_n500_m50,3,501.09s,500,50,1583883656,1500,10,51,1097.42,,,
2.02003E+13,MDG-b_3_n500_m50,4,506.391s,500,50,1583897227,1500,10,53,1142.31,,,
2.02003E+13,MDG-b_3_n500_m50,5,501.577s,500,50,1583901217,1500,10,54,1120.75,,,
2.02003E+13,MDG-b_3_n500_m50,6,500.622s,500,50,1583887989,1500,10,55,1061.96,,,
2.02003E+13,MDG-b_3_n500_m50,7,502.376s,500,50,1583881546,1500,10,54,1106.86,,,
2.02003E+13,MDG-b_3_n500_m50,8,508.43s,500,50,1583890749,1500,10,57,1111.07,,,
2.02003E+13,MDG-b_3_n500_m50,9,502.712s,500,50,1583891382,1500,10,56,1016.82,,,
2.02003E+13,MDG-b_4_n500_m50,0,510.037s,500,50,1583877209,1500,10,54,1078.01,,,
2.02003E+13,MDG-b_4_n500_m50,1,500.228s,500,50,1583908202,1500,10,52,1094.33,,,
2.02003E+13,MDG-b_4_n500_m50,2,501.118s,500,50,1583876783,1500,10,55,1065.44,,,
2.02003E+13,MDG-b_4_n500_m50,3,500.623s,500,50,1583891372,1500,10,58,1099.06,,,
2.02003E+13,MDG-b_4_n500_m50,4,504.555s,500,50,1583889420,1500,10,53,1138.96,,,
2.02003E+13,MDG-b_4_n500_m50,5,503.302s,500,50,1583909615,1500,10,52,1143.55,,,
2.02003E+13,MDG-b_4_n500_m50,6,503.038s,500,50,1583880278,1500,10,53,1101.65,,,
2.02003E+13,MDG-b_4_n500_m50,7,506.431s,500,50,1583880765,1500,10,55,1090.8,,,
2.02003E+13,MDG-b_4_n500_m50,8,500.51s,500,50,1583909992,1500,10,53,1124.19,,,
2.02003E+13,MDG-b_4_n500_m50,9,505.326s,500,50,1583905582,1500,10,53,1053.05,,,
2.02003E+13,MDG-b_5_n500_m50,0,504.733s,500,50,1583882401,1500,10,52,1118.76,,,
2.02003E+13,MDG-b_5_n500_m50,1,505.538s,500,50,1583895267,1500,10,55,1134.09,,,
2.02003E+13,MDG-b_5_n500_m50,2,506.337s,500,50,1583898375,1500,10,50,1170.22,,,
2.02003E+13,MDG-b_5_n500_m50,3,506.489s,500,50,1583904076,1500,10,51,1116.22,,,
2.02003E+13,MDG-b_5_n500_m50,4,502.309s,500,50,1583883612,1500,10,52,1112.36,,,
2.02003E+13,MDG-b_5_n500_m50,5,500.6s,500,50,1583898610,1500,10,51,1081.51,,,
2.02003E+13,MDG-b_5_n500_m50,6,505.712s,500,50,1583903480,1500,10,52,1125.55,,,
2.02003E+13,MDG-b_5_n500_m50,7,503.448s,500,50,1583900939,1500,10,54,1130.82,,,
2.02003E+13,MDG-b_5_n500_m50,8,503s,500,50,1583884753,1500,10,53,1089.64,,,
2.02003E+13,MDG-b_5_n500_m50,9,500.525s,500,50,1583889161,1500,10,52,1075.5,,,
2.02003E+13,MDG-b_6_n500_m50,0,500.764s,500,50,1583900078,1500,10,54,1089.94,,,
2.02003E+13,MDG-b_6_n500_m50,1,505.735s,500,50,1583886993,1500,10,51,1089.03,,,
2.02003E+13,MDG-b_6_n500_m50,2,506.581s,500,50,1583905592,1500,10,57,1101.63,,,
2.02003E+13,MDG-b_6_n500_m50,3,504.3s,500,50,1583893810,1500,10,53,1085.12,,,
2.02003E+13,MDG-b_6_n500_m50,4,503.82s,500,50,1583908492,1500,10,54,1085.87,,,
2.02003E+13,MDG-b_6_n500_m50,5,503.751s,500,50,1583907546,1500,10,52,1099.67,,,
2.02003E+13,MDG-b_6_n500_m50,6,503.621s,500,50,1583891867,1500,10,52,1089.13,,,
2.02003E+13,MDG-b_6_n500_m50,7,503.438s,500,50,1583893522,1500,10,57,1133.83,,,
2.02003E+13,MDG-b_6_n500_m50,8,500.098s,500,50,1583921468,1500,10,53,1101.54,,,
2.02003E+13,MDG-b_6_n500_m50,9,502.398s,500,50,1583921539,1500,10,55,1102.08,,,
2.02003E+13,MDG-b_7_n500_m50,0,508.993s,500,50,1583901200,1500,10,53,1067.94,,,
2.02003E+13,MDG-b_7_n500_m50,1,503.418s,500,50,1583919633,1500,10,54,1135.78,,,
2.02003E+13,MDG-b_7_n500_m50,2,506.061s,500,50,1583895447,1500,10,55,1145.69,,,
2.02003E+13,MDG-b_7_n500_m50,3,501.271s,500,50,1583919806,1500,10,56,1140.63,,,
2.02003E+13,MDG-b_7_n500_m50,4,505.336s,500,50,1583908154,1500,10,52,1105.5,,,
2.02003E+13,MDG-b_7_n500_m50,5,506.956s,500,50,1583904615,1500,10,53,1108.09,,,
2.02003E+13,MDG-b_7_n500_m50,6,507.419s,500,50,1583917244,1500,10,54,1162.28,,,
2.02003E+13,MDG-b_7_n500_m50,7,501.066s,500,50,1583894864,1500,10,54,1096.38,,,
2.02003E+13,MDG-b_7_n500_m50,8,505.519s,500,50,1583908808,1500,10,55,1127.42,,,
2.02003E+13,MDG-b_7_n500_m50,9,508.467s,500,50,1583904554,1500,10,55,1066.65,,,
2.02003E+13,MDG-b_8_n500_m50,0,505.985s,500,50,1583913397,1500,10,55,1111.2,,,
2.02003E+13,MDG-b_8_n500_m50,1,508.384s,500,50,1583924675,1500,10,50,1086.63,,,
2.02003E+13,MDG-b_8_n500_m50,2,503.859s,500,50,1583909560,1500,10,52,1085.6,,,
2.02003E+13,MDG-b_8_n500_m50,3,506.868s,500,50,1583898317,1500,10,53,1074.15,,,
2.02003E+13,MDG-b_8_n500_m50,4,508.807s,500,50,1583929852,1500,10,55,1161.2,,,
2.02003E+13,MDG-b_8_n500_m50,5,507.203s,500,50,1583916612,1500,10,52,1126.18,,,
2.02003E+13,MDG-b_8_n500_m50,6,500.426s,500,50,1583908868,1500,10,52,1127.88,,,
2.02003E+13,MDG-b_8_n500_m50,7,501.477s,500,50,1583901399,1500,10,54,1106.68,,,
2.02003E+13,MDG-b_8_n500_m50,8,500.598s,500,50,1583930037,1500,10,57,1131.81,,,
2.02003E+13,MDG-b_8_n500_m50,9,513.819s,500,50,1583918735,1500,10,54,1145.67,,,
2.02003E+13,MDG-b_9_n500_m50,0,508.029s,500,50,1583900729,1500,10,56,1090.85,,,
2.02003E+13,MDG-b_9_n500_m50,1,504.387s,500,50,1583903773,1500,10,54,1135.32,,,
2.02003E+13,MDG-b_9_n500_m50,2,503.346s,500,50,1583903445,1500,10,55,1117.72,,,
2.02003E+13,MDG-b_9_n500_m50,3,500.174s,500,50,1583918811,1500,10,54,1156.6,,,
2.02003E+13,MDG-b_9_n500_m50,4,504.115s,500,50,1583924872,1500,10,52,1101.72,,,
2.02003E+13,MDG-b_9_n500_m50,5,502.645s,500,50,1583932259,1500,10,55,1108.65,,,
2.02003E+13,MDG-b_9_n500_m50,6,500.65s,500,50,1583913923,1500,10,54,1087.72,,,
2.02003E+13,MDG-b_9_n500_m50,7,511.844s,500,50,1583929610,1500,10,54,1047.98,,,
2.02003E+13,MDG-b_9_n500_m50,8,503.546s,500,50,1583914612,1500,10,51,1103.07,,,
2.02003E+13,MDG-b_9_n500_m50,9,503.752s,500,50,1583905842,1500,10,57,1090.96,,,
2.02003E+13,MDG-b_10_n500_m50,0,503.444s,500,50,1583935041,1500,10,52,1114.43,,,
2.02003E+13,MDG-b_10_n500_m50,1,504.848s,500,50,1583921941,1500,10,56,1055.07,,,
2.02003E+13,MDG-b_10_n500_m50,2,505.428s,500,50,1583906835,1500,10,54,1144.65,,,
2.02003E+13,MDG-b_10_n500_m50,3,503.972s,500,50,1583913217,1500,10,55,1164.54,,,
2.02003E+13,MDG-b_10_n500_m50,4,500.997s,500,50,1583910359,1500,10,57,1076.72,,,
2.02003E+13,MDG-b_10_n500_m50,5,507.722s,500,50,1583918660,1500,10,58,1084.02,,,
2.02003E+13,MDG-b_10_n500_m50,6,508.571s,500,50,1583941436,1500,10,55,1058.66,,,
2.02003E+13,MDG-b_10_n500_m50,7,508.354s,500,50,1583938979,1500,10,55,1163.43,,,
2.02003E+13,MDG-b_10_n500_m50,8,505.082s,500,50,1583938351,1500,10,56,1093.03,,,
2.02003E+13,MDG-b_10_n500_m50,9,510.005s,500,50,1583915833,1500,10,56,1114.67,,,
2.02003E+13,MDG-b_11_n500_m50,0,500.351s,500,50,1583913494,1500,10,51,1049.96,,,
2.02003E+13,MDG-b_11_n500_m50,1,505.43s,500,50,1583933126,1500,10,53,1092.92,,,
2.02003E+13,MDG-b_11_n500_m50,2,507.384s,500,50,1583941254,1500,10,54,1042.11,,,
2.02003E+13,MDG-b_11_n500_m50,3,509.953s,500,50,1583927555,1500,10,55,1095.61,,,
2.02003E+13,MDG-b_11_n500_m50,4,505.056s,500,50,1583939335,1500,10,58,1122.84,,,
2.02003E+13,MDG-b_11_n500_m50,5,506.947s,500,50,1583939155,1500,10,53,1083.57,,,
2.02003E+13,MDG-b_11_n500_m50,6,508.756s,500,50,1583941627,1500,10,57,1112.06,,,
2.02003E+13,MDG-b_11_n500_m50,7,507.635s,500,50,1583935823,1500,10,53,1096.3,,,
2.02003E+13,MDG-b_11_n500_m50,8,510.329s,500,50,1583922116,1500,10,55,1076.99,,,
2.02003E+13,MDG-b_11_n500_m50,9,507.649s,500,50,1583924317,1500,10,59,1118.97,,,
2.02003E+13,MDG-b_12_n500_m50,0,509.885s,500,50,1583936121,1500,10,57,1108.27,,,
2.02003E+13,MDG-b_12_n500_m50,1,505.02s,500,50,1583943268,1500,10,54,1105.4,,,
2.02003E+13,MDG-b_12_n500_m50,2,504.591s,500,50,1583931208,1500,10,55,1126.29,,,
2.02003E+13,MDG-b_12_n500_m50,3,504.238s,500,50,1583934210,1500,10,56,1101.99,,,
2.02003E+13,MDG-b_12_n500_m50,4,501.722s,500,50,1583923100,1500,10,57,1140.61,,,
