CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj
20200324093839,MDG-c_1_n3000_m300,0,6034.53s,3000,300,1584988209,1000,10,2,4807
20200324111928,MDG-c_1_n3000_m300,1,5858.59s,3000,300,1584990864,1000,10,1,4543
20200324125720,MDG-c_1_n3000_m300,2,3092.75s,3000,300,1585024575,1000,10,1,4607
20200324134906,MDG-c_1_n3000_m300,3,4709.69s,3000,300,1585003600,1000,10,1,4490
20200324150749,MDG-c_1_n3000_m300,4,5183.68s,3000,300,1585025955,1000,10,2,4501
20200324163427,MDG-c_1_n3000_m300,5,6950.22s,3000,300,1585006970,1000,10,1,4675
20200324183031,MDG-c_1_n3000_m300,6,5220.84s,3000,300,1585023114,1000,10,1,4536
20200324195745,MDG-c_1_n3000_m300,7,4118.56s,3000,300,1585033589,1000,10,1,4588
20200324210637,MDG-c_1_n3000_m300,8,3489.05s,3000,300,1585032318,1000,10,1,4885
20200324220500,MDG-c_1_n3000_m300,9,4193.66s,3000,300,1585026047,1000,10,1,4730
20200324231507,MDG-c_2_n3000_m300,0,5782.25s,3000,300,1585059008,1000,10,1,4509
20200325005144,MDG-c_2_n3000_m300,1,4762.51s,3000,300,1585053894,1000,10,1,4391
20200325021120,MDG-c_2_n3000_m300,2,3163.77s,3000,300,1585049475,1000,10,1,4756
20200325030417,MDG-c_2_n3000_m300,3,4023.5s,3000,300,1585051404,1000,10,1,4595
20200325041134,MDG-c_2_n3000_m300,4,5399.35s,3000,300,1585053455,1000,10,2,4579
20200325054147,MDG-c_2_n3000_m300,5,3121.08s,3000,300,1585079575,1000,10,1,4533
20200325063401,MDG-c_2_n3000_m300,6,6254.52s,3000,300,1585063121,1000,10,2,4603
20200325081830,MDG-c_2_n3000_m300,7,6703.91s,3000,300,1585090130,1000,10,2,4629
20200325101027,MDG-c_2_n3000_m300,8,3483.68s,3000,300,1585091402,1000,10,1,4488
20200325110844,MDG-c_2_n3000_m300,9,4718.45s,3000,300,1585079222,1000,10,2,4666
20200325122736,MDG-c_3_n3000_m300,0,7798.19s,3000,300,1585077708,1000,10,1,4117
20200325143749,MDG-c_3_n3000_m300,1,3077.09s,3000,300,1585115955,1000,10,1,4673
20200325152919,MDG-c_3_n3000_m300,2,3265.63s,3000,300,1585093029,1000,10,1,4655
20200325162358,MDG-c_3_n3000_m300,3,5402.34s,3000,300,1585120368,1000,10,2,4755
20200325175414,MDG-c_3_n3000_m300,4,4060.52s,3000,300,1585118342,1000,10,1,4556
20200325190208,MDG-c_3_n3000_m300,5,5512.18s,3000,300,1585132918,1000,10,2,4799
20200325203414,MDG-c_3_n3000_m300,6,4409.97s,3000,300,1585119070,1000,10,2,4648
20200325214757,MDG-c_3_n3000_m300,7,3130.24s,3000,300,1585126465,1000,10,1,4757
20200325224021,MDG-c_3_n3000_m300,8,6190.09s,3000,300,1585138337,1000,10,2,4587
20200326002345,MDG-c_3_n3000_m300,9,3148.33s,3000,300,1585141551,1000,10,1,4806
20200326011627,MDG-c_4_n3000_m300,0,4484.86s,3000,300,1585127016,1000,10,1,4747
20200326023126,MDG-c_4_n3000_m300,1,5030.13s,3000,300,1585132912,1000,10,1,4536
20200326035530,MDG-c_4_n3000_m300,2,6760.09s,3000,300,1585141600,1000,10,2,4533
20200326054823,MDG-c_4_n3000_m300,3,3350.18s,3000,300,1585171887,1000,10,1,4869
20200326064427,MDG-c_4_n3000_m300,4,5420.94s,3000,300,1585163191,1000,10,2,4379
20200326081502,MDG-c_4_n3000_m300,5,5690.01s,3000,300,1585176855,1000,10,2,4664
20200326095006,MDG-c_4_n3000_m300,6,6239.86s,3000,300,1585156639,1000,10,2,4637
20200326113420,MDG-c_4_n3000_m300,7,4643.42s,3000,300,1585171483,1000,10,2,4627
20200326125158,MDG-c_4_n3000_m300,8,3165.61s,3000,300,1585192222,1000,10,1,4689
20200326134458,MDG-c_4_n3000_m300,9,3387.72s,3000,300,1585178992,1000,10,1,4497
20200326144141,MDG-c_5_n3000_m300,0,9123.23s,3000,300,1585204697,1000,10,1,4394
20200326171357,MDG-c_5_n3000_m300,1,4783.28s,3000,300,1585200539,1000,10,1,4654
20200326183354,MDG-c_5_n3000_m300,2,3620.86s,3000,300,1585189843,1000,10,1,4623
20200326193429,MDG-c_5_n3000_m300,3,4087.74s,3000,300,1585195664,1000,10,1,4741
20200326204250,MDG-c_5_n3000_m300,4,3668.26s,3000,300,1585217576,1000,10,1,4758
20200326214412,MDG-c_5_n3000_m300,5,4855.93s,3000,300,1585218573,1000,10,2,4830
20200326230522,MDG-c_5_n3000_m300,6,5327.9s,3000,300,1585221177,1000,10,2,4685
20200327003423,MDG-c_5_n3000_m300,7,4590.25s,3000,300,1585225674,1000,10,2,4734
20200327015107,MDG-c_5_n3000_m300,8,5180.61s,3000,300,1585237933,1000,10,2,4722
20200327031741,MDG-c_5_n3000_m300,9,3840.19s,3000,300,1585236214,1000,10,1,4627
20200327042155,MDG-c_6_n3000_m400,0,9799.55s,3000,400,1585250701,700,10,1,6013
20200327070529,MDG-c_6_n3000_m400,1,6763.61s,3000,400,1585241110,700,10,1,5786
20200327085827,MDG-c_6_n3000_m400,2,5509.96s,3000,400,1585267989,700,10,1,6147
20200327103031,MDG-c_6_n3000_m400,3,6997.89s,3000,400,1585267021,700,10,1,5790
20200327122723,MDG-c_6_n3000_m400,4,6331.85s,3000,400,1585265846,700,10,1,5970
20200327141308,MDG-c_6_n3000_m400,5,4685.95s,3000,400,1585277278,700,10,1,6276
20200327153128,MDG-c_6_n3000_m400,6,4064.94s,3000,400,1585265790,700,10,1,6285
20200327163927,MDG-c_6_n3000_m400,7,5023.29s,3000,400,1585293943,700,10,1,5881
20200327180324,MDG-c_6_n3000_m400,8,5113.35s,3000,400,1585277244,700,10,1,6376
20200327192851,MDG-c_6_n3000_m400,9,7476.15s,3000,400,1585303411,700,10,1,5987
20200327213341,MDG-c_7_n3000_m400,0,9767.29s,3000,400,1585286153,700,10,1,6147
20200328001642,MDG-c_7_n3000_m400,1,6544.1s,3000,400,1585307767,700,10,1,5891
20200328020600,MDG-c_7_n3000_m400,2,7471.72s,3000,400,1585321802,700,10,1,5734
20200328041045,MDG-c_7_n3000_m400,3,5093.59s,3000,400,1585334780,700,10,1,6196
20200328053552,MDG-c_7_n3000_m400,4,4197.83s,3000,400,1585328028,700,10,1,6325
20200328064604,MDG-c_7_n3000_m400,5,4593.25s,3000,400,1585341723,700,10,1,6045
20200328080251,MDG-c_7_n3000_m400,6,5663.71s,3000,400,1585348603,700,10,1,5973
20200328093728,MDG-c_7_n3000_m400,7,4768.68s,3000,400,1585330038,700,10,1,5947
20200328105710,MDG-c_7_n3000_m400,8,3326.42s,3000,400,1585348145,700,10,1,6026
20200328115250,MDG-c_7_n3000_m400,9,4757.19s,3000,400,1585356767,700,10,1,6191
20200328131221,MDG-c_8_n3000_m400,0,7519.09s,3000,400,1585341419,700,10,1,6266
20200328151754,MDG-c_8_n3000_m400,1,4278.06s,3000,400,1585364422,700,10,1,6014
20200328162927,MDG-c_8_n3000_m400,2,5929.31s,3000,400,1585375380,700,10,1,5877
20200328180830,MDG-c_8_n3000_m400,3,5404.48s,3000,400,1585368966,700,10,1,6167
20200328193848,MDG-c_8_n3000_m400,4,4083.92s,3000,400,1585388077,700,10,1,6224
20200328204705,MDG-c_8_n3000_m400,5,5091.14s,3000,400,1585386950,700,10,1,6021
20200328221210,MDG-c_8_n3000_m400,6,6284.02s,3000,400,1585384384,700,10,1,5825
20200328235708,MDG-c_8_n3000_m400,7,7115.25s,3000,400,1585400742,700,10,1,5823
20200329015557,MDG-c_8_n3000_m400,8,6017.43s,3000,400,1585397557,700,10,1,5696
20200329033628,MDG-c_8_n3000_m400,9,4500.76s,3000,400,1585405617,700,10,1,5985
20200329045143,MDG-c_9_n3000_m400,0,7727.55s,3000,400,1585423435,700,10,1,6345
20200329070044,MDG-c_9_n3000_m400,1,4586.37s,3000,400,1585407720,700,10,1,6198
20200329081724,MDG-c_9_n3000_m400,2,5954.86s,3000,400,1585422026,700,10,1,5985
20200329095653,MDG-c_9_n3000_m400,3,4684.22s,3000,400,1585440152,700,10,1,6272
20200329111511,MDG-c_9_n3000_m400,4,8355.9s,3000,400,1585423766,700,10,1,5944
20200329133440,MDG-c_9_n3000_m400,5,7634.52s,3000,400,1585429331,700,10,1,5646
20200329154209,MDG-c_9_n3000_m400,6,6268.62s,3000,400,1585447702,700,10,1,6165
20200329172651,MDG-c_9_n3000_m400,7,4457.07s,3000,400,1585470110,700,10,1,6415
20200329184122,MDG-c_9_n3000_m400,8,8329.21s,3000,400,1585473112,700,10,1,5815
20200329210025,MDG-c_9_n3000_m400,9,7064.49s,3000,400,1585457738,700,10,1,5658
20200329225824,MDG-c_10_n3000_m400,0,8176.79s,3000,400,1585474551,700,10,1,6077
20200330011454,MDG-c_10_n3000_m400,1,6514.26s,3000,400,1585481567,700,10,1,6098
20200330030342,MDG-c_10_n3000_m400,2,5475.54s,3000,400,1585477746,700,10,1,6110
20200330043511,MDG-c_10_n3000_m400,3,6630.81s,3000,400,1585491771,700,10,1,6021
20200330062556,MDG-c_10_n3000_m400,4,5724.83s,3000,400,1585514929,700,10,1,6003
20200330080135,MDG-c_10_n3000_m400,5,4018.38s,3000,400,1585499772,700,10,1,6208
20200330090847,MDG-c_10_n3000_m400,6,3955.86s,3000,400,1585520175,700,10,1,6119
20200330101457,MDG-c_10_n3000_m400,7,6158.88s,3000,400,1585521058,700,10,1,5941
20200330115749,MDG-c_10_n3000_m400,8,11583.6s,3000,400,1585528570,700,10,1,5973
20200330151107,MDG-c_10_n3000_m400,9,4043.84s,3000,400,1585521222,700,10,1,6318
20200330161845,MDG-c_11_n3000_m500,0,8791.52s,3000,500,1585551057,600,10,1,7939
20200330184530,MDG-c_11_n3000_m500,1,16603.3s,3000,500,1585552410,600,10,1,7312
20200330232227,MDG-c_11_n3000_m500,2,14476.8s,3000,500,1585551608,600,10,1,7199
20200331032358,MDG-c_11_n3000_m500,3,9878.3s,3000,500,1585590932,600,10,1,7254
20200331060850,MDG-c_11_n3000_m500,4,12339.9s,3000,500,1585598756,600,10,1,7073
20200331093444,MDG-c_11_n3000_m500,5,8589.14s,3000,500,1585589395,600,10,1,7540
20200331115807,MDG-c_11_n3000_m500,6,14125.9s,3000,500,1585601885,600,10,1,7298
