CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Generation,Local_Best_Obj
20200226155139,MDG-a_2_n500_m50,0,754.109s,500,50,1582700675,1500,95,11.22
20200226160415,MDG-a_2_n500_m50,1,759.217s,500,50,1582700445,1500,91,11.27
20200226161655,MDG-a_2_n500_m50,2,753.971s,500,50,1582692938,1500,123,9.23
20200226162931,MDG-a_2_n500_m50,3,751.192s,500,50,1582702712,1500,113,10.99
20200226164203,MDG-a_2_n500_m50,4,755.156s,500,50,1582705844,1500,97,10.55
20200226165440,MDG-a_3_n500_m50,0,753.003s,500,50,1582700963,1500,100,11.41
20200226170714,MDG-a_3_n500_m50,1,754.443s,500,50,1582707055,1500,92,11.16
20200226171950,MDG-a_3_n500_m50,2,752.943s,500,50,1582694458,1500,93,11.55
20200226173224,MDG-a_3_n500_m50,3,751.251s,500,50,1582687198,1500,90,11.1
20200226174457,MDG-a_3_n500_m50,4,756.399s,500,50,1582690393,1500,104,10.44
20200226175734,MDG-a_4_n500_m50,0,750.439s,500,50,1582701334,1500,105,11.17
20200226181006,MDG-a_4_n500_m50,1,756.56s,500,50,1582706809,1500,106,10.78
20200226182244,MDG-a_4_n500_m50,2,752.183s,500,50,1582710379,1500,106,11.45
20200226183517,MDG-a_4_n500_m50,3,750.926s,500,50,1582684183,1500,104,10.8
20200226184749,MDG-a_4_n500_m50,4,756.859s,500,50,1582694219,1500,106,9.95
20200226190027,MDG-a_5_n500_m50,0,755.987s,500,50,1582712149,1500,103,11.27
20200226191304,MDG-a_5_n500_m50,1,754.669s,500,50,1582684208,1500,105,11.35
20200226192540,MDG-a_5_n500_m50,2,758.25s,500,50,1582696402,1500,99,10.74
20200226193820,MDG-a_5_n500_m50,3,750.78s,500,50,1582695091,1500,76,11.22
20200226195052,MDG-a_5_n500_m50,4,752.061s,500,50,1582713116,1500,77,10.78
20200226200326,MDG-a_8_n500_m50,0,755.883s,500,50,1582686280,1500,79,11.22
20200226201604,MDG-a_8_n500_m50,1,751.768s,500,50,1582702992,1500,79,11.11
20200226202837,MDG-a_8_n500_m50,2,757.656s,500,50,1582707944,1500,75,11.49
20200226204117,MDG-a_8_n500_m50,3,757.655s,500,50,1582692819,1500,71,11.07
20200226205357,MDG-a_8_n500_m50,4,755.177s,500,50,1582721465,1500,71,10.47
20200226210634,MDG-a_12_n500_m50,0,758.341s,500,50,1582709733,1500,73,10.68
20200226211914,MDG-a_12_n500_m50,1,755.548s,500,50,1582706578,1500,73,11.03
20200226213152,MDG-a_12_n500_m50,2,752.232s,500,50,1582699539,1500,72,11
20200226214426,MDG-a_12_n500_m50,3,758.7s,500,50,1582698561,1500,71,11.05
20200226215707,MDG-a_12_n500_m50,4,750.954s,500,50,1582702271,1500,73,11.09
20200226220939,MDG-a_14_n500_m50,0,754.492s,500,50,1582714575,1500,73,11.38
20200226222216,MDG-a_14_n500_m50,1,757.078s,500,50,1582718271,1500,91,11.26
20200226223454,MDG-a_14_n500_m50,2,750.014s,500,50,1582715630,1500,103,11.56
20200226224726,MDG-a_14_n500_m50,3,751.578s,500,50,1582696468,1500,104,11.34
20200226225959,MDG-a_14_n500_m50,4,756.906s,500,50,1582709322,1500,106,10.92
20200226231237,MDG-a_16_n500_m50,0,755.222s,500,50,1582713883,1500,104,10.98
20200226232513,MDG-a_16_n500_m50,1,756.696s,500,50,1582709070,1500,104,10.98
20200226233751,MDG-a_16_n500_m50,2,752.643s,500,50,1582726462,1500,105,11.22
20200226235025,MDG-a_16_n500_m50,3,755.789s,500,50,1582700133,1500,106,10.89
20200227000302,MDG-a_16_n500_m50,4,754.458s,500,50,1582702514,1500,105,10.5
20200227001538,MDG-a_17_n500_m50,0,756.29s,500,50,1582713159,1500,106,11.22
20200227002815,MDG-a_17_n500_m50,1,750.072s,500,50,1582714695,1500,105,11.37
20200227004046,MDG-a_17_n500_m50,2,755.574s,500,50,1582729762,1500,105,11.25
20200227005323,MDG-a_17_n500_m50,3,755.925s,500,50,1582707078,1500,105,11.5
20200227010600,MDG-a_17_n500_m50,4,756.852s,500,50,1582724654,1500,106,10.88
20200227011838,MDG-a_18_n500_m50,0,751.401s,500,50,1582712238,1500,105,10.52
20200227013111,MDG-a_18_n500_m50,1,752.714s,500,50,1582735271,1500,104,11.27
20200227014345,MDG-a_18_n500_m50,2,751.544s,500,50,1582735101,1500,104,11.27
20200227015618,MDG-a_18_n500_m50,3,750.781s,500,50,1582726744,1500,105,9.54
20200227020850,MDG-a_18_n500_m50,4,756.763s,500,50,1582738130,1500,106,11.1
20200227081952,MDG-a_1_n500_m50,0,20200227082042,MDG-a_1_n500_m50,0,756.048s,500,50,1582741511,1500,132,11.44
20200227083319,MDG-a_1_n500_m50,1,752.957s,500,50,1582755995,1500,131,10.89
20200227084553,MDG-a_1_n500_m50,2,750.043s,500,50,1582746623,1500,131,10.68
20200227085824,MDG-a_1_n500_m50,3,750.006s,500,50,1582740342,1500,131,10.82
20200227091055,MDG-a_1_n500_m50,4,755.118s,500,50,1582737434,1500,130,11.18
20200227092332,MDG-a_3_n500_m50,0,753.717s,500,50,1582757435,1500,129,10.87
20200227093606,MDG-a_3_n500_m50,1,751.35s,500,50,1582766300,1500,124,10.96
20200227094839,MDG-a_3_n500_m50,2,754.291s,500,50,1582740737,1500,101,11.21
20200227100114,MDG-a_3_n500_m50,3,751.307s,500,50,1582748720,1500,100,10.37
20200227101347,MDG-a_3_n500_m50,4,751.057s,500,50,1582763199,1500,100,11.36
20200227102619,MDG-a_5_n500_m50,0,756.622s,500,50,1582739186,1500,91,11.16
20200227103857,MDG-a_5_n500_m50,1,751.66s,500,50,1582757950,1500,89,10.8
20200227105130,MDG-a_5_n500_m50,2,754.06s,500,50,1582749912,1500,90,11.48
20200227110405,MDG-a_5_n500_m50,3,754.308s,500,50,1582768371,1500,87,10.22
20200227111641,MDG-a_5_n500_m50,4,750.505s,500,50,1582770565,1500,86,10.64
20200227112913,MDG-a_6_n500_m50,0,751.07s,500,50,1582754948,1500,93,11.36
20200227114146,MDG-a_6_n500_m50,1,752.165s,500,50,1582753787,1500,97,10.84
20200227115419,MDG-a_6_n500_m50,2,754.203s,500,50,1582751243,1500,98,10.07
20200227120655,MDG-a_6_n500_m50,3,756.772s,500,50,1582754149,1500,98,10.69
20200227121932,MDG-a_6_n500_m50,4,753.296s,500,50,1582764059,1500,98,11.04
20200227123207,MDG-a_7_n500_m50,0,754.825s,500,50,1582766843,1500,98,11.22
20200227124443,MDG-a_7_n500_m50,1,754.77s,500,50,1582746114,1500,98,11.42
20200227125719,MDG-a_7_n500_m50,2,755.037s,500,50,1582756884,1500,99,10.92
20200227130955,MDG-a_7_n500_m50,3,753.96s,500,50,1582776079,1500,100,11.18
20200227132230,MDG-a_7_n500_m50,4,752.223s,500,50,1582780161,1500,118,11.04
20200227133503,MDG-a_8_n500_m50,0,757.909s,500,50,1582766857,1500,90,10.94
20200227134743,MDG-a_8_n500_m50,1,756.07s,500,50,1582769349,1500,87,10.67
20200227140020,MDG-a_8_n500_m50,2,755.637s,500,50,1582752859,1500,90,11.31
20200227141257,MDG-a_8_n500_m50,3,752.187s,500,50,1582769790,1500,96,10.52
20200227142531,MDG-a_8_n500_m50,4,754.285s,500,50,1582770620,1500,98,10.94
20200227143806,MDG-a_9_n500_m50,0,756.707s,500,50,1582755425,1500,99,10.63
20200227145044,MDG-a_9_n500_m50,1,756.246s,500,50,1582766016,1500,97,11.08
20200227150321,MDG-a_9_n500_m50,2,752.82s,500,50,1582770517,1500,96,11.03
20200227151555,MDG-a_9_n500_m50,3,753.32s,500,50,1582772963,1500,100,10.87
20200227152830,MDG-a_9_n500_m50,4,753.277s,500,50,1582767066,1500,90,10.41
20200227154105,MDG-a_10_n500_m50,0,753.517s,500,50,1582762458,1500,92,11.03
