CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj
20200302095027,MDG-c_1_n3000_m300,0,4522.95s,3000,300,1583098808,100,7,6,4998
20200302110605,MDG-c_1_n3000_m300,1,4927.13s,3000,300,1583093908,100,7,7,5185
20200302122823,MDG-c_1_n3000_m300,2,4761.39s,3000,300,1583117741,100,7,6,4934
20200302134755,MDG-c_1_n3000_m300,3,4897.55s,3000,300,1583108564,100,7,6,5146
20200302150943,MDG-c_1_n3000_m300,4,4841.32s,3000,300,1583114540,100,7,6,4968
20200302163036,MDG-c_5_n3000_m300,0,5253.47s,3000,300,1583126750,100,7,7,4982
20200302175821,MDG-c_5_n3000_m300,1,5190.87s,3000,300,1583112794,100,7,7,4919
20200302192504,MDG-c_5_n3000_m300,2,4677.38s,3000,300,1583124207,100,7,6,4954
20200302204312,MDG-c_5_n3000_m300,3,4996.59s,3000,300,1583122926,100,7,6,4812
20200302220640,MDG-c_5_n3000_m300,4,4570.77s,3000,300,1583135140,100,7,6,4813
20200302232302,MDG-c_14_n3000_m500,0,6981.36s,3000,500,1583155960,100,7,2,8093
20200303011934,MDG-c_14_n3000_m500,1,6384.97s,3000,500,1583142800,100,7,2,8089
20200303030609,MDG-c_14_n3000_m500,2,5090.41s,3000,500,1583172336,100,7,2,8111
20200303043110,MDG-c_14_n3000_m500,3,5715.47s,3000,500,1583166600,100,7,2,8310
20200303060637,MDG-c_14_n3000_m500,4,6633.13s,3000,500,1583176694,100,7,2,8059
20200303075720,MDG-c_17_n3000_m600,0,20200303092138,MDG-a_22_n2000_m200,0,20200303092211,MDG-a_22_n2000_m200,0,20200303092456,MDG-a_22_n2000_m200,0,20200303092720,MDG-b_10_n500_m50,0,504.489s,500,50,1583173040,1500,100,54,1043.94
20200303093546,MDG-b_10_n500_m50,1,20200303093648,MDG-b_10_n500_m50,0,502.946s,500,50,1583173878,1500,200,56,1110.19
20200303094512,MDG-b_10_n500_m50,1,507.873s,500,50,1583195974,1500,200,57,1112.57
20200303095340,MDG-b_10_n500_m50,2,20200303100017,MDG-b_10_n500_m50,0,20200303100132,MDG-b_10_n500_m50,0,503.796s,500,50,1583188660,1500,10,52,1119.56
20200303101016,MDG-b_10_n500_m50,1,510.106s,500,50,1583180300,1500,10,50,1150.96
20200303101847,MDG-b_10_n500_m50,2,520.28s,500,50,1583184418,1500,10,44,1129.94
20200303102728,MDG-b_20_n500_m50,0,508.09s,500,50,1583188503,1500,10,48,1133.75
20200303103557,MDG-b_20_n500_m50,1,500.773s,500,50,1583185164,1500,10,44,951.81
20200303104419,MDG-b_20_n500_m50,2,511.937s,500,50,1583172007,1500,10,46,1121.32
20200303105252,MDG-a_1_n500_m50,0,509.078s,500,50,1583188624,1500,10,48,11.43
20200303110122,MDG-a_1_n500_m50,1,502.276s,500,50,1583177452,1500,10,47,11.35
20200303110946,MDG-a_1_n500_m50,2,501.401s,500,50,1583198335,1500,10,51,11.44
20200303111808,MDG-a_17_n500_m50,0,505.125s,500,50,1583187712,1500,10,45,11.06
20200303112634,MDG-a_17_n500_m50,1,500.6s,500,50,1583202316,1500,10,50,11.5
20200303113456,MDG-a_17_n500_m50,2,503.385s,500,50,1583202111,1500,10,50,11.11
20200303114320,MDG-a_22_n2000_m200,0,2815.9s,2000,200,1583186204,1500,10,3,37
20200303123022,MDG-a_22_n2000_m200,1,2697.56s,2000,200,1583186946,1500,10,3,39
20200303131526,MDG-a_22_n2000_m200,2,
