CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj
20200310162606,GKD-c_1_n500_m50,0,507.338s,500,50,1583796367,1500,10,43,6.98963
20200310163436,GKD-c_1_n500_m50,1,504.039s,500,50,1583810048,1500,10,48,8.00947
20200310164303,GKD-c_1_n500_m50,2,503.144s,500,50,1583817310,1500,10,48,7.17148
20200310165128,GKD-c_1_n500_m50,3,502.992s,500,50,1583829474,1500,10,48,8.09703
20200310165954,GKD-c_1_n500_m50,4,504.823s,500,50,1583799402,1500,10,48,9.95453
20200310170821,GKD-c_7_n500_m50,0,506.014s,500,50,1583807781,1500,10,43,9.22721
20200310171650,GKD-c_7_n500_m50,1,502.29s,500,50,1583799200,1500,10,46,9.29621
20200310172515,GKD-c_7_n500_m50,2,500.024s,500,50,1583808636,1500,10,48,7.52175
20200310173337,GKD-c_7_n500_m50,3,500.022s,500,50,1583807433,1500,10,48,8.9481
20200310174200,GKD-c_7_n500_m50,4,508.015s,500,50,1583813158,1500,10,43,7.95962
20200310175030,GKD-c_8_n500_m50,0,502.687s,500,50,1583819216,1500,10,46,9.39571
20200310175855,GKD-c_8_n500_m50,1,502.337s,500,50,1583815976,1500,10,48,9.08913
20200310180720,GKD-c_8_n500_m50,2,508.662s,500,50,1583834659,1500,10,45,8.52514
20200310181551,GKD-c_8_n500_m50,3,500.03s,500,50,1583804659,1500,10,49,7.34017
20200310182413,GKD-c_8_n500_m50,4,504.144s,500,50,1583821903,1500,10,50,8.47075
20200310183240,GKD-c_10_n500_m50,0,502.823s,500,50,1583808261,1500,10,48,8.16751
20200310184105,GKD-c_10_n500_m50,1,515.076s,500,50,1583828053,1500,10,47,8.08741
20200310184943,GKD-c_10_n500_m50,2,500.583s,500,50,1583814345,1500,10,48,9.47061
20200310185806,GKD-c_10_n500_m50,3,504.561s,500,50,1583809450,1500,10,50,8.1198
20200310190633,GKD-c_10_n500_m50,4,502.381s,500,50,1583818390,1500,10,51,8.4946
20200310191457,GKD-c_13_n500_m50,0,506.708s,500,50,1583833377,1500,10,51,8.0266
20200310192327,GKD-c_13_n500_m50,1,500.773s,500,50,1583822662,1500,10,47,9.00956
20200310193150,GKD-c_13_n500_m50,2,500.88s,500,50,1583811960,1500,10,50,8.32254
20200310194013,GKD-c_13_n500_m50,3,504.361s,500,50,1583815353,1500,10,54,10.011
20200310194840,GKD-c_13_n500_m50,4,507.99s,500,50,1583816583,1500,10,51,8.76236
20200310195710,GKD-c_15_n500_m50,0,506.215s,500,50,1583840540,1500,10,47,8.95202
20200310200539,GKD-c_15_n500_m50,1,504.376s,500,50,1583816777,1500,10,44,7.44075
20200310201405,GKD-c_15_n500_m50,2,509.258s,500,50,1583811045,1500,10,52,7.95497
20200310202237,GKD-c_15_n500_m50,3,507.878s,500,50,1583826258,1500,10,46,8.98963
20200310203107,GKD-c_15_n500_m50,4,508.257s,500,50,1583824840,1500,10,49,6.65684
20200310203938,GKD-c_18_n500_m50,0,504.695s,500,50,1583819991,1500,10,50,7.74066
20200310204805,GKD-c_18_n500_m50,1,510.891s,500,50,1583834050,1500,10,46,8.7914
20200310205638,GKD-c_18_n500_m50,2,506.159s,500,50,1583822532,1500,10,48,7.74066
20200310210507,GKD-c_18_n500_m50,3,505.54s,500,50,1583823892,1500,10,48,9.45533
20200310211335,GKD-c_18_n500_m50,4,505.202s,500,50,1583837534,1500,10,51,8.71415
