CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj
20200302210200,MDG-b_10_n500_m50,0,506.051s,500,50,1583139344,1500,10,56,1089.21
20200302211028,MDG-b_10_n500_m50,1,506.706s,500,50,1583138544,1500,10,56,1076.45
20200302211857,MDG-b_10_n500_m50,2,508.995s,500,50,1583130461,1500,10,54,1116.72
20200302212727,MDG-b_10_n500_m50,3,501.981s,500,50,1583135544,1500,10,51,1081.42
20200302213551,MDG-b_10_n500_m50,4,507.434s,500,50,1583150513,1500,10,54,1063.33
20200302214420,MDG-b_11_n500_m50,0,501.545s,500,50,1583131788,1500,10,53,1126.79
20200302215243,MDG-b_11_n500_m50,1,503.86s,500,50,1583135012,1500,10,54,1084.94
20200302220109,MDG-b_11_n500_m50,2,505.547s,500,50,1583156103,1500,10,53,1132.46
20200302220936,MDG-b_11_n500_m50,3,507.2s,500,50,1583129626,1500,10,57,1135.3
20200302221805,MDG-b_11_n500_m50,4,500.502s,500,50,1583127841,1500,10,52,1081.18
20200302222627,MDG-b_12_n500_m50,0,505.988s,500,50,1583140069,1500,10,55,1112.24
20200302223455,MDG-b_12_n500_m50,1,506.814s,500,50,1583159655,1500,10,53,1070.43
20200302224323,MDG-b_12_n500_m50,2,511.575s,500,50,1583154361,1500,10,52,1063.4
20200302225156,MDG-b_12_n500_m50,3,506.483s,500,50,1583148011,1500,10,56,1106.2
20200302230024,MDG-b_12_n500_m50,4,505.164s,500,50,1583136119,1500,10,56,1141.72
20200302230851,MDG-b_14_n500_m50,0,513.155s,500,50,1583149068,1500,10,52,1109.22
20200302231726,MDG-b_14_n500_m50,1,502.992s,500,50,1583153125,1500,10,52,1101.71
20200302232551,MDG-b_14_n500_m50,2,505.802s,500,50,1583132139,1500,10,52,1116.73
20200302233418,MDG-b_14_n500_m50,3,503.425s,500,50,1583139431,1500,10,55,1106.12
20200302234243,MDG-b_14_n500_m50,4,501.808s,500,50,1583163449,1500,10,53,1119.24
20200302235107,MDG-b_16_n500_m50,0,501.681s,500,50,1583148409,1500,10,54,1113.83
20200302235930,MDG-b_16_n500_m50,1,501.812s,500,50,1583152322,1500,10,58,1119.29
20200303000753,MDG-b_16_n500_m50,2,503.712s,500,50,1583149473,1500,10,55,1071.97
20200303001619,MDG-b_16_n500_m50,3,500.58s,500,50,1583147947,1500,10,54,1123.46
20200303002441,MDG-b_16_n500_m50,4,502.113s,500,50,1583141164,1500,10,51,1102.57
20200303003305,MDG-b_20_n500_m50,0,508.756s,500,50,1583142494,1500,10,57,1117.95
20200303004135,MDG-b_20_n500_m50,1,509.029s,500,50,1583145252,1500,10,52,1113.46
20200303005006,MDG-b_20_n500_m50,2,505.766s,500,50,1583148553,1500,10,52,1156.6
20200303005833,MDG-b_20_n500_m50,3,500.87s,500,50,1583139509,1500,10,55,1084.99
20200303010655,MDG-b_20_n500_m50,4,504.039s,500,50,1583155839,1500,10,54,1078.94
20200303011521,MDG-b_1_n500_m50,0,503.935s,500,50,1583148052,1500,10,54,1128.04
