CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Generation,Local_Best_Obj
20200226101622,MDG-a_1_n500_m50,0,20200226101916,MDG-a_1_n500_m50,0,756.784s,500,50,1582681358,1500,96,10.94
20200226103155,MDG-a_1_n500_m50,1,756.98s,500,50,1582653815,1500,110,10.95
20200226104433,MDG-a_1_n500_m50,2,750.275s,500,50,1582674737,1500,105,11.14
20200226105704,MDG-a_1_n500_m50,3,755.163s,500,50,1582656814,1500,75,11.65
20200226110941,MDG-a_1_n500_m50,4,755.713s,500,50,1582655361,1500,113,10.91
20200226112218,MDG-a_7_n500_m50,0,756.602s,500,50,1582668297,1500,113,10.59
20200226113455,MDG-a_7_n500_m50,1,751.379s,500,50,1582679837,1500,111,11.43
20200226114728,MDG-a_7_n500_m50,2,750.278s,500,50,1582673379,1500,112,10.87
20200226115959,MDG-a_7_n500_m50,3,752.334s,500,50,1582675372,1500,112,10.45
20200226121233,MDG-a_7_n500_m50,4,756.067s,500,50,1582682930,1500,117,11
20200226122510,MDG-a_10_n500_m50,0,755.276s,500,50,1582677546,1500,113,10.79
20200226123746,MDG-a_10_n500_m50,1,755.174s,500,50,1582685251,1500,113,10.97
20200226125022,MDG-a_10_n500_m50,2,750.583s,500,50,1582686876,1500,113,10.05
20200226130254,MDG-a_10_n500_m50,3,750.356s,500,50,1582666742,1500,112,11.14
20200226131525,MDG-a_10_n500_m50,4,752.255s,500,50,1582675586,1500,114,11.39
20200226132759,MDG-a_13_n500_m50,0,752.126s,500,50,1582690553,1500,125,11.2
20200226134032,MDG-a_13_n500_m50,1,752.867s,500,50,1582664210,1500,141,11.44
20200226135305,MDG-a_13_n500_m50,2,755.909s,500,50,1582688640,1500,123,11.2
20200226140542,MDG-a_13_n500_m50,3,750.844s,500,50,1582674080,1500,112,11.18
20200226141814,MDG-a_13_n500_m50,4,754.498s,500,50,1582685070,1500,131,11.19
20200226143050,MDG-a_18_n500_m50,0,753.184s,500,50,1582688623,1500,141,11.39
20200226144324,MDG-a_18_n500_m50,1,753.23s,500,50,1582679233,1500,140,10.95
20200226145558,MDG-a_18_n500_m50,2,752.776s,500,50,1582671893,1500,125,10.95
20200226150832,MDG-a_18_n500_m50,3,755.18s,500,50,1582683581,1500,110,10.75
20200226152108,MDG-a_18_n500_m50,4,755.162s,500,50,1582685552,1500,61,11.12
