CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj
20200303171112,MDG-a_24_n2000_m200,0,2232.88s,2000,200,1583226438,1000,10,4,36
20200303174831,MDG-a_24_n2000_m200,1,2679.45s,2000,200,1583219498,1000,10,4,37
20200303183316,MDG-a_24_n2000_m200,2,2043.54s,2000,200,1583201224,1000,10,4,38
20200303190726,MDG-a_24_n2000_m200,3,2156.09s,2000,200,1583226440,1000,10,4,38
20200303194328,MDG-a_24_n2000_m200,4,2132.77s,2000,200,1583214134,1000,10,4,38
20200303201907,MDG-a_28_n2000_m200,0,2198.61s,2000,200,1583210159,1000,10,3,38
20200303205552,MDG-a_28_n2000_m200,1,2359.4s,2000,200,1583239128,1000,10,4,37
20200303213517,MDG-a_28_n2000_m200,2,2005s,2000,200,1583231070,1000,10,4,37
20200303220848,MDG-a_28_n2000_m200,3,2585.46s,2000,200,1583215248,1000,10,3,35
20200303225159,MDG-a_28_n2000_m200,4,2444.49s,2000,200,1583231837,1000,10,4,37
20200303233250,MDG-a_33_n2000_m200,0,2964.48s,2000,200,1583241909,1000,10,3,37
20200304002220,MDG-a_33_n2000_m200,1,2579.68s,2000,200,1583223989,1000,10,3,36
20200304010526,MDG-a_33_n2000_m200,2,2369.64s,2000,200,1583254630,1000,10,5,38
20200304014501,MDG-a_33_n2000_m200,3,2194.61s,2000,200,1583231215,1000,10,5,38
20200304022142,MDG-a_33_n2000_m200,4,2355.43s,2000,200,1583258236,1000,10,5,37
20200304030103,MDG-a_32_n2000_m200,0,2716.45s,2000,200,1583250233,1000,10,3,38
20200304034626,MDG-a_32_n2000_m200,1,2049.37s,2000,200,1583245549,1000,10,4,36
20200304042041,MDG-a_32_n2000_m200,2,2356.47s,2000,200,1583245164,1000,10,5,38
20200304050003,MDG-a_32_n2000_m200,3,2090.31s,2000,200,1583252758,1000,10,4,38
20200304053459,MDG-a_32_n2000_m200,4,2123.7s,2000,200,1583251133,1000,10,5,37
20200304061029,MDG-a_35_n2000_m200,0,2142.66s,2000,200,1583261702,1000,10,2,38
20200304064618,MDG-a_35_n2000_m200,1,2067.51s,2000,200,1583269708,1000,10,4,38
20200304072051,MDG-a_35_n2000_m200,2,2314.48s,2000,200,1583256174,1000,10,4,37
20200304075932,MDG-a_35_n2000_m200,3,2616.63s,2000,200,1583279865,1000,10,5,38
20200304084315,MDG-a_35_n2000_m200,4,2091.94s,2000,200,1583271435,1000,10,5,37
20200304091813,MDG-a_38_n2000_m200,0,2234.71s,2000,200,1583276045,1000,10,2,38
20200304095534,MDG-a_38_n2000_m200,1,2317.19s,2000,200,1583255230,1000,10,5,39
20200304103417,MDG-a_38_n2000_m200,2,2355.8s,2000,200,1583260292,1000,10,3,37
20200304111338,MDG-a_38_n2000_m200,3,2128.46s,2000,200,1583285350,1000,10,4,39
20200304114913,MDG-a_38_n2000_m200,4,2284.3s,2000,200,1583292402,1000,10,5,37
20200304122723,MDG-a_40_n2000_m200,0,2160.35s,2000,200,1583274350,1000,10,2,38
20200304130329,MDG-a_40_n2000_m200,1,2401.75s,2000,200,1583278378,1000,10,4,37
20200304134337,MDG-a_40_n2000_m200,2,2419.77s,2000,200,1583291833,1000,10,5,39
20200304142403,MDG-a_40_n2000_m200,3,2009.8s,2000,200,1583293100,1000,10,4,39
20200304145738,MDG-a_40_n2000_m200,4,2207.71s,2000,200,1583281988,1000,10,5,37
20200304153432,MDG-b_21_n2000_m200,0,2250.7s,2000,200,1583297446,1000,10,2,3510.31
20200304161228,MDG-b_21_n2000_m200,1,2448.11s,2000,200,1583291656,1000,10,4,3350.86
20200304165341,MDG-b_21_n2000_m200,2,2475.99s,2000,200,1583290727,1000,10,4,3267.91
20200304173523,MDG-b_21_n2000_m200,3,2560.75s,2000,200,1583303266,1000,10,4,3369.92
20200304181830,MDG-b_21_n2000_m200,4,2071.67s,2000,200,1583290015,1000,10,3,3353.29
20200304185326,MDG-b_24_n2000_m200,0,2834.11s,2000,200,1583287372,1000,10,3,3329.71
20200304194106,MDG-b_24_n2000_m200,1,2430.55s,2000,200,1583321751,1000,10,4,3207.9
20200304202201,MDG-b_24_n2000_m200,2,2736.79s,2000,200,1583304388,1000,10,4,3302.12
20200304210804,MDG-b_24_n2000_m200,3,2575.34s,2000,200,1583306450,1000,10,4,3369.96
20200304215125,MDG-b_24_n2000_m200,4,2630.78s,2000,200,1583313743,1000,10,4,3398.23
20200304223541,MDG-b_27_n2000_m200,0,2423s,2000,200,1583319360,1000,10,3,3433.97
20200304231629,MDG-b_27_n2000_m200,1,3076.41s,2000,200,1583333731,1000,10,3,3295.05
20200305000811,MDG-b_27_n2000_m200,2,2482.25s,2000,200,1583323226,1000,10,4,3308.21
20200305004958,MDG-b_27_n2000_m200,3,2544.2s,2000,200,1583323322,1000,10,3,3188.94
20200305013248,MDG-b_27_n2000_m200,4,3045.49s,2000,200,1583336598,1000,10,4,3218.03
20200305022358,MDG-b_33_n2000_m200,0,2921.89s,2000,200,1583341265,1000,10,3,3403.11
20200305031306,MDG-b_33_n2000_m200,1,2150.16s,2000,200,1583333651,1000,10,4,3425.92
20200305034921,MDG-b_33_n2000_m200,2,2373.5s,2000,200,1583319792,1000,10,4,3481.31
20200305042920,MDG-b_33_n2000_m200,3,2333.52s,2000,200,1583339603,1000,10,3,3366.62
20200305050838,MDG-b_33_n2000_m200,4,2374.95s,2000,200,1583332616,1000,10,3,3305.11
20200305054839,MDG-b_38_n2000_m200,0,2098.73s,2000,200,1583351910,1000,10,2,3359.74
20200305062402,MDG-b_38_n2000_m200,1,2173.23s,2000,200,1583346993,1000,10,3,3261.93
20200305070041,MDG-b_38_n2000_m200,2,2034.13s,2000,200,1583361344,1000,10,3,3278.61
20200305073500,MDG-b_38_n2000_m200,3,2213.98s,2000,200,1583334330,1000,10,4,3404.71
20200305081220,MDG-b_38_n2000_m200,4,2482.45s,2000,200,1583355092,1000,10,3,3181.57
20200305085407,10Type1_52.10_n500m200,0,567.972s,500,200,1583361565,1000,10,6,38.26
20200305090338,10Type1_52.10_n500m200,1,574.373s,500,200,1583344481,1000,10,6,37.87
20200305091315,10Type1_52.10_n500m200,2,508.365s,500,200,1583360948,1000,10,5,38.17
20200305092146,10Type1_52.10_n500m200,3,593.597s,500,200,1583365617,1000,10,6,38.59
20200305093142,10Type1_52.10_n500m200,4,525.827s,500,200,1583360017,1000,10,5,38.8
20200305094030,13Type1_52.13_n500m200,0,606.196s,500,200,1583348992,1000,10,6,38.05
20200305095039,13Type1_52.13_n500m200,1,510.049s,500,200,1583343339,1000,10,6,37.34
20200305095912,13Type1_52.13_n500m200,2,560.815s,500,200,1583345461,1000,10,7,38.75
20200305100835,13Type1_52.13_n500m200,3,507.933s,500,200,1583369429,1000,10,5,37.03
20200305101705,13Type1_52.13_n500m200,4,556.423s,500,200,1583372793,1000,10,6,38.08
20200305102624,15Type1_52.15_n500m200,0,533.411s,500,200,1583352703,1000,10,5,38.01
20200305103520,15Type1_52.15_n500m200,1,548.915s,500,200,1583348387,1000,10,6,39.51
20200305104431,15Type1_52.15_n500m200,2,564.501s,500,200,1583372274,1000,10,5,38.65
20200305105358,15Type1_52.15_n500m200,3,549.3s,500,200,1583371083,1000,10,6,38.05
20200305110310,15Type1_52.15_n500m200,4,593.097s,500,200,1583372029,1000,10,6,37.82
20200305111306,16Type1_52.16_n500m200,0,595.282s,500,200,1583367971,1000,10,6,38.82
20200305112304,16Type1_52.16_n500m200,1,592.972s,500,200,1583373025,1000,10,6,39.18
20200305113259,16Type1_52.16_n500m200,2,502.855s,500,200,1583359173,1000,10,6,40.19
20200305114124,16Type1_52.16_n500m200,3,516.625s,500,200,1583365427,1000,10,6,39.81
20200305115003,16Type1_52.16_n500m200,4,533.287s,500,200,1583375951,1000,10,5,38.56
20200305115859,19Type1_52.19_n500m200,0,501.5s,500,200,1583371593,1000,10,5,39.03
20200305120724,19Type1_52.19_n500m200,1,523.138s,500,200,1583363056,1000,10,6,39.95
20200305121609,19Type1_52.19_n500m200,2,577.327s,500,200,1583378405,1000,10,7,39.07
20200305122549,19Type1_52.19_n500m200,3,576.653s,500,200,1583358179,1000,10,7,36.89
20200305123528,19Type1_52.19_n500m200,4,500.986s,500,200,1583380986,1000,10,5,37.81
20200305124352,04Type1_52.4_n500m200,0,514.388s,500,200,1583356295,1000,10,5,37.89
20200305125228,04Type1_52.4_n500m200,1,535.443s,500,200,1583371848,1000,10,6,38.05
20200305130126,04Type1_52.4_n500m200,2,591.322s,500,200,1583362608,1000,10,6,38.2
20200305131120,04Type1_52.4_n500m200,3,521.373s,500,200,1583373488,1000,10,6,37.6
20200305132004,04Type1_52.4_n500m200,4,534.058s,500,200,1583361945,1000,10,5,37.85
20200305132900,07Type1_52.7_n500m200,0,529.322s,500,200,1583353750,1000,10,6,38.03
20200305133752,07Type1_52.7_n500m200,1,582.082s,500,200,1583355719,1000,10,7,39.77
20200305134737,07Type1_52.7_n500m200,2,546.048s,500,200,1583358067,1000,10,6,39.85
20200305135645,07Type1_52.7_n500m200,3,511.752s,500,200,1583359215,1000,10,7,35.77
20200305140519,07Type1_52.7_n500m200,4,528.794s,500,200,1583366772,1000,10,5,39.45
20200305141411,01Type1_52.1_n500m200,0,536.561s,500,200,1583375482,1000,10,5,39.59
20200305142310,01Type1_52.1_n500m200,1,547.218s,500,200,1583383682,1000,10,6,39.44
20200305143219,01Type1_52.1_n500m200,2,500.175s,500,200,1583368373,1000,10,5,36.84
20200305144042,01Type1_52.1_n500m200,3,594.472s,500,200,1583359235,1000,10,6,38.06
20200305145039,01Type1_52.1_n500m200,4,504.919s,500,200,1583369616,1000,10,5,39.23
20200305145906,MDG-c_1_n3000_m300,0,3707.63s,3000,300,1583384067,1000,10,1,4578
20200305160108,MDG-c_1_n3000_m300,1,5392.11s,3000,300,1583390812,1000,10,2,4540
20200305173113,MDG-c_1_n3000_m300,2,6899.47s,3000,300,1583373538,1000,10,2,4502
20200305192626,MDG-c_1_n3000_m300,3,3829.6s,3000,300,1583388503,1000,10,1,4368
20200305203029,MDG-c_1_n3000_m300,4,3766.7s,3000,300,1583379622,1000,10,1,4540
20200305213329,MDG-c_5_n3000_m300,0,5576.01s,3000,300,1583410396,1000,10,2,4663
20200305230639,MDG-c_5_n3000_m300,1,3532.67s,3000,300,1583404765,1000,10,1,4554
20200306000545,MDG-c_5_n3000_m300,2,4927.48s,3000,300,1583400841,1000,10,2,4687
20200306012805,MDG-c_5_n3000_m300,3,4176.99s,3000,300,1583428099,1000,10,1,4746
20200306023756,MDG-c_5_n3000_m300,4,6405.03s,3000,300,1583428495,1000,10,2,4648
20200306042455,MDG-c_6_n3000_m400,0,7916.24s,3000,400,1583438581,1000,10,1,6078
20200306063705,MDG-c_6_n3000_m400,1,6498.07s,3000,400,1583433795,1000,10,1,5561
20200306082536,MDG-c_6_n3000_m400,2,6899.18s,3000,400,1583433659,1000,10,1,5995
20200306102049,MDG-c_6_n3000_m400,3,5302.93s,3000,400,1583435538,1000,10,1,6035
20200306114926,MDG-c_6_n3000_m400,4,4850.16s,3000,400,1583463702,1000,10,1,6043
20200306131029,MDG-c_8_n3000_m400,0,11045.2s,3000,400,1583449126,1000,10,1,6001
20200306161448,MDG-c_8_n3000_m400,1,9253.21s,3000,400,1583456231,1000,10,1,5895
20200306184914,MDG-c_8_n3000_m400,2,5302.3s,3000,400,1583491032,1000,10,1,6309
20200306201750,MDG-c_8_n3000_m400,3,4578.24s,3000,400,1583482805,1000,10,1,6203
20200306213421,MDG-c_8_n3000_m400,4,3320.76s,3000,400,1583491922,1000,10,1,6606
20200306222956,MDG-c_14_n3000_m500,0,15533.5s,3000,500,1583504435,1000,10,1,7444
20200307024903,MDG-c_14_n3000_m500,1,14007.9s,3000,500,1583513541,1000,10,1,7234
20200307064244,MDG-c_14_n3000_m500,2,20561.5s,3000,500,1583510470,1000,10,1,6609
20200307122538,MDG-c_14_n3000_m500,3,18517.9s,3000,500,1583539342,1000,10,1,7250
20200307173430,MDG-c_14_n3000_m500,4,11406.3s,3000,500,1583567464,1000,10,1,7464
20200307204450,MDG-c_17_n3000_m600,0,32985.1s,3000,600,1583562658,1000,10,1,8364
20200308055448,MDG-c_17_n3000_m600,1,17994.9s,3000,600,1583590926,1000,10,1,8533
20200308105457,MDG-c_17_n3000_m600,2,19587.8s,3000,600,1583617639,1000,10,1,8284
